# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:26:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\d_i5mbmc.json
# init = 2 (Default)
# random
#   seed = 153
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232659_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.950406
# Diagonal elements of inverse mass matrix:
# 0.382914
-8.07873,0.934783,0.950406,1,1,0,8.0866,0.466869
-8.07873,0.762434,0.950406,1,3,0,9.68582,0.466869
-7.66894,1,0.950406,1,3,0,8.00323,0.36762
-7.64262,1,0.950406,2,3,0,7.66296,0.320573
-7.64387,0.998074,0.950406,2,7,0,7.65631,0.347966
-7.98764,0.927544,0.950406,1,3,0,8.03926,0.451914
-7.82831,0.916136,0.950406,1,3,0,8.58049,0.253527
-7.69591,0.870033,0.950406,2,3,0,8.93673,0.288261
-7.65518,0.992619,0.950406,1,3,0,7.76076,0.358727
-9.62965,0.535222,0.950406,1,3,0,11.0955,0.114961
-7.73768,0.879729,0.950406,1,3,0,10.9388,0.39564
-8.82635,0.842568,0.950406,2,7,0,8.82666,0.153683
-7.63941,1,0.950406,2,3,0,8.61051,0.340122
-7.74835,0.985193,0.950406,2,3,0,7.75545,0.271758
-8.07689,0.890995,0.950406,1,3,0,8.5554,0.466583
-8.07689,0.871064,0.950406,1,3,0,9.14202,0.466583
-7.66153,1,0.950406,1,3,0,8.00823,0.363149
-7.78725,0.969087,0.950406,2,3,0,7.9015,0.409945
-8.73498,0.866478,0.950406,2,7,0,8.74065,0.159367
-9.23512,0.936848,0.950406,1,1,0,9.29093,0.131867
-8.38357,1,0.950406,2,3,0,9.1134,0.185218
-8.1832,1,0.950406,1,1,0,8.40146,0.204061
-7.996,1,0.950406,2,3,0,8.17713,0.226319
-7.69707,0.969382,0.950406,1,3,0,8.29854,0.381021
-7.68425,0.978735,0.950406,2,3,0,7.87046,0.292949
-7.66431,0.991549,0.950406,1,3,0,7.7631,0.364897
-8.61873,0.815026,0.950406,1,3,0,8.72734,0.534076
-9.04802,0.895762,0.950406,1,1,0,9.21278,0.574084
-7.80157,1,0.950406,2,3,0,8.80647,0.259037
