# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:30:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\h0tnhzf8.json
# init = 2 (Default)
# random
#   seed = 72673
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308233055_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.23497
# Diagonal elements of inverse mass matrix:
# 0.363593
-7.70998,0.934766,1.23497,2,3,0,7.86733,0.386085
-7.70998,0.621322,1.23497,1,3,0,9.17062,0.386085
-8.22945,0.87761,1.23497,2,3,0,8.37955,0.199347
-8.80829,0.955944,1.23497,2,3,0,8.88249,0.154779
-9.31532,0.902199,1.23497,1,1,0,9.5085,0.12815
-8.45022,1,1.23497,1,1,0,9.19737,0.179726
-9.09167,0.95521,1.23497,2,3,0,9.19642,0.138935
-10.0285,0.846735,1.23497,1,1,0,10.1797,0.100798
-8.16065,0.935595,1.23497,2,3,0,10.5261,0.479056
-8.0424,1,1.23497,2,3,0,8.26529,0.461105
-7.67854,0.993096,1.23497,1,3,0,7.98932,0.295473
-8.11085,0.712349,1.23497,2,3,0,8.89503,0.471771
-7.71054,0.964126,1.23497,2,3,0,8.23258,0.283043
-7.6421,0.990654,1.23497,2,3,0,7.75116,0.321339
-7.66268,0.992646,1.23497,1,1,0,7.66292,0.303688
-8.57664,0.77203,1.23497,1,3,0,8.6553,0.529677
-7.97443,1,1.23497,2,3,0,8.42638,0.449593
-7.97443,0.436743,1.23497,1,1,0,9.21718,0.449593
-7.76058,0.501855,1.23497,2,3,0,10.3503,0.402597
-7.65006,0.85469,1.23497,2,3,0,8.28321,0.354526
-7.72462,0.912106,1.23497,2,3,0,7.98267,0.391319
-8.00581,0.892603,1.23497,1,1,0,8.02437,0.455037
-8.28685,0.890023,1.23497,1,1,0,8.41488,0.496089
-10.3136,0.440015,1.23497,1,1,0,10.4627,0.661204
-8.97557,1,1.23497,2,3,0,10.188,0.145096
-7.97161,1,1.23497,2,3,0,8.71571,0.229716
-7.67419,1,1.23497,1,3,0,7.87332,0.297527
-7.64091,0.982161,1.23497,2,3,0,7.74029,0.323311
-8.35186,0.793421,1.23497,2,3,0,8.81081,0.187951
-7.81289,1,1.23497,1,1,0,8.1998,0.256647
-8.36707,0.872553,1.23497,1,3,0,8.60437,0.506053
-7.87093,1,1.23497,2,3,0,8.22652,0.429597
-7.68832,0.587171,1.23497,2,3,0,9.52528,0.377271
-7.63844,0.994154,1.23497,2,3,0,7.70528,0.330194
-7.65515,0.987238,1.23497,2,3,0,7.68405,0.358711
-7.64547,0.987837,1.23497,2,3,0,7.70242,0.349903
-7.78211,0.725009,1.23497,2,3,0,8.61345,0.408583
-8.08066,0.885278,1.23497,1,1,0,8.11929,0.467169
-7.64026,1,1.23497,1,3,0,7.91453,0.342171
-8.18346,0.835173,1.23497,2,3,0,8.49497,0.204034
-8.09019,1,1.23497,1,1,0,8.27962,0.21439
-9.27066,0.747788,1.23497,1,1,0,9.27578,0.130201
-8.12138,1,1.23497,1,1,0,8.99928,0.210788
-8.14593,0.993261,1.23497,1,1,0,8.29042,0.208054
-7.63912,0.95821,1.23497,2,3,0,8.21966,0.327425
-7.82921,0.745986,1.23497,2,3,0,8.83073,0.420326
-8.29799,0.824576,1.23497,1,1,0,8.34769,0.49751
-7.77922,0.949806,1.23497,2,3,0,8.51538,0.264047
-7.83805,0.873114,1.23497,2,3,0,8.40956,0.251628
-7.83805,0.959414,1.23497,1,1,0,7.97788,0.251628
-8.86559,0.815217,1.23497,1,3,0,8.86633,0.151345
-7.9888,1,1.23497,2,3,0,8.64529,0.227307
-7.9888,0.84683,1.23497,1,1,0,8.46944,0.227307
-7.6635,0.963101,1.23497,2,3,0,8.17456,0.303203
-7.63821,0.99971,1.23497,1,3,0,7.65595,0.334494
-7.63821,0.911077,1.23497,1,3,0,7.88121,0.334494
-7.82303,0.948486,1.23497,1,3,0,7.82823,0.418871
-7.66351,0.632044,1.23497,2,3,0,9.38707,0.3032
-7.84911,0.896533,1.23497,2,3,0,8.10293,0.424859
-7.64026,1,1.23497,1,3,0,7.77059,0.342165
-7.76457,0.787455,1.23497,2,3,0,8.36493,0.403743
-7.63931,0.827689,1.23497,2,3,0,8.28759,0.339845
-7.78442,0.89337,1.23497,2,3,0,8.05874,0.409198
-7.74197,1,1.23497,2,3,0,7.76761,0.273494
-8.28802,0.737463,1.23497,2,3,0,9.00219,0.49624
-7.76169,1,1.23497,1,1,0,8.09698,0.402917
-9.54607,0.480778,1.23497,1,1,0,9.5515,0.612566
-7.72982,1,1.23497,2,3,0,8.80362,0.393075
-8.55924,0.712658,1.23497,1,1,0,8.56849,0.527828
-7.72952,1,1.23497,2,3,0,8.22955,0.392975
-8.47944,0.736357,1.23497,1,1,0,8.48972,0.519104
-8.00708,0.736329,1.23497,2,3,0,9.65574,0.224823
-7.65612,0.9807,1.23497,1,3,0,7.95228,0.359432
-7.63885,0.978265,1.23497,2,3,0,7.71847,0.338362
-7.64033,0.999448,1.23497,1,1,0,7.64047,0.342316
-8.07274,0.88371,1.23497,1,3,0,8.12665,0.216475
-8.07274,0.652842,1.23497,1,3,0,9.87337,0.216475
-7.69302,1,1.23497,1,1,0,7.95029,0.28937
-8.12677,0.890338,1.23497,1,3,0,8.22284,0.474139
-7.73975,1,1.23497,1,1,0,7.99005,0.396297
-7.70069,0.659985,1.23497,2,3,0,8.99117,0.382489
-7.80244,0.983846,1.23497,2,3,0,7.81903,0.258851
-7.68445,0.973382,1.23497,2,3,0,8.00105,0.292861
-7.80093,0.961778,1.23497,1,1,0,7.80642,0.259176
-7.63835,0.986599,1.23497,2,3,0,7.81303,0.335927
-7.70753,0.904031,1.23497,2,3,0,7.95277,0.385161
-7.65334,0.816898,1.23497,2,3,0,8.26924,0.357302
-7.64834,1,1.23497,2,3,0,7.65153,0.31412
-7.73612,0.969782,1.23497,1,1,0,7.73615,0.275139
-8.49247,0.817756,1.23497,1,3,0,8.65768,0.520557
-8.49247,0.274585,1.23497,1,1,0,10.661,0.520557
-7.76341,0.986386,1.23497,1,3,0,8.44577,0.267866
-7.65394,1,1.23497,1,1,0,7.72579,0.309473
-7.69385,0.991416,1.23497,2,3,0,7.71323,0.379673
-7.73831,0.994666,1.23497,2,3,0,7.74098,0.274518
-7.7611,0.992526,1.23497,1,1,0,7.79202,0.268444
-7.7611,0.776513,1.23497,1,3,0,8.58158,0.268444
-7.67621,1,1.23497,1,1,0,7.7377,0.296559
-7.66092,1,1.23497,2,3,0,7.67133,0.362753
-7.9444,0.893943,1.23497,1,1,0,7.94519,0.444145
-7.64426,0.777839,1.23497,2,3,0,8.66047,0.318427
-7.93607,0.921033,1.23497,1,3,0,7.96117,0.442589
-7.81502,1,1.23497,1,1,0,7.94718,0.416952
-7.68854,1,1.23497,2,3,0,7.77629,0.377373
-8.89918,0.745477,1.23497,2,3,0,9.22299,0.149391
-8.24921,1,1.23497,1,1,0,8.81059,0.197407
-7.7913,1,1.23497,2,3,0,8.14927,0.411006
-7.65068,1,1.23497,1,1,0,7.73696,0.355081
-7.69929,0.990791,1.23497,2,3,0,7.70122,0.381925
-7.70634,0.997229,1.23497,1,1,0,7.72918,0.384705
-7.70634,0.399644,1.23497,1,3,0,9.43491,0.384705
-8.44313,0.741302,1.23497,1,1,0,8.44818,0.514992
-7.88677,1,1.23497,1,1,0,8.28106,0.432903
-7.6535,0.87613,1.23497,2,3,0,8.28231,0.3098
-7.7895,0.920155,1.23497,2,3,0,7.9807,0.410537
-7.74081,1,1.23497,1,1,0,7.80576,0.396633
-7.74081,0.919096,1.23497,1,1,0,7.89208,0.396633
-7.79496,0.993861,1.23497,2,3,0,7.79576,0.260477
-7.64683,1,1.23497,1,3,0,7.74408,0.315591
-7.64683,0.781254,1.23497,1,3,0,8.22815,0.315591
-7.65967,0.995432,1.23497,1,1,0,7.66154,0.305538
-8.77678,0.726614,1.23497,1,3,0,8.85829,0.54975
-7.80672,1,1.23497,1,1,0,8.4053,0.414917
-7.75843,1,1.23497,1,1,0,7.83011,0.401972
-7.75843,0.875779,1.23497,1,1,0,7.98058,0.401972
-8.08814,0.87439,1.23497,1,1,0,8.11695,0.468323
-7.63857,1,1.23497,1,3,0,7.93237,0.329487
-8.04764,0.894311,1.23497,1,3,0,8.07659,0.219567
-7.69231,0.945825,1.23497,2,3,0,8.43654,0.289651
-8.30876,0.748052,1.23497,2,3,0,8.97115,0.191802
-7.6398,0.982153,1.23497,1,3,0,8.12812,0.325596
-7.96482,0.880254,1.23497,2,3,0,8.16091,0.230689
-7.82434,1,1.23497,2,3,0,7.92101,0.419182
-7.82434,0.468558,1.23497,1,3,0,10.5049,0.419182
-7.82434,0.617715,1.23497,1,1,0,8.53999,0.419182
-7.64521,0.998496,1.23497,1,3,0,7.78004,0.317324
-8.0337,0.643963,1.23497,2,3,0,9.07255,0.459688
-7.64325,0.714119,1.23497,2,3,0,8.99931,0.31972
-9.05576,0.705115,1.23497,2,3,0,9.66675,0.140796
-9.48258,0.922214,1.23497,1,1,0,9.73721,0.120877
-10.6556,0.834284,1.23497,1,1,0,10.8095,0.0828279
-7.6643,0.992107,1.23497,2,3,0,10.3822,0.30274
-8.50535,0.693412,1.23497,2,3,0,9.21646,0.175419
-7.68472,0.997219,1.23497,1,3,0,8.26273,0.292748
-7.82355,0.884447,1.23497,2,3,0,8.2027,0.254474
-9.23895,0.685121,1.23497,1,3,0,9.5471,0.589657
-7.64898,1,1.23497,1,3,0,8.70131,0.31353
-7.64296,0.995732,1.23497,2,3,0,7.67006,0.320102
-8.4462,0.792878,1.23497,1,3,0,8.48563,0.515343
-7.7684,0.983842,1.23497,1,3,0,8.42176,0.266632
-7.84434,0.976044,1.23497,1,1,0,7.87733,0.250432
-8.99951,0.526178,1.23497,2,3,0,10.3661,0.569938
-7.93028,1,1.23497,1,1,0,8.6231,0.441494
-7.7556,1,1.23497,2,3,0,7.89361,0.401141
-7.6384,1,1.23497,1,3,0,7.71733,0.330427
-8.09178,0.883165,1.23497,1,3,0,8.12683,0.214202
-8.19353,0.821583,1.23497,2,3,0,9.61798,0.202987
-8.07791,1,1.23497,1,1,0,8.27591,0.215852
-7.74291,0.935614,1.23497,2,3,0,8.59612,0.273234
-7.93272,0.97991,1.23497,2,3,0,7.94708,0.235458
-7.95887,0.992243,1.23497,1,1,0,8.04938,0.231551
-7.7492,1,1.23497,2,3,0,7.91132,0.399224
-7.7492,0.612568,1.23497,1,1,0,8.46306,0.399224
-7.97927,0.910983,1.23497,1,1,0,8.00842,0.450448
-7.81152,1,1.23497,2,3,0,7.96705,0.416098
-7.81152,0.419701,1.23497,1,1,0,9.06882,0.416098
-8.10669,0.886133,1.23497,1,1,0,8.15659,0.471146
-7.64218,0.672084,1.23497,2,3,0,9.25636,0.321219
-7.64218,0.371503,1.23497,1,3,0,9.78553,0.321219
-7.63835,0.999764,1.23497,2,3,0,7.64196,0.335935
-7.64941,0.996105,1.23497,2,3,0,7.65388,0.313149
-7.67209,0.992005,1.23497,1,1,0,7.67408,0.298564
-7.64089,0.982585,1.23497,2,3,0,7.73606,0.323342
-8.07824,0.882421,1.23497,1,3,0,8.10173,0.466793
-8.32117,0.904049,1.23497,1,1,0,8.48115,0.500424
-8.10981,1,1.23497,1,1,0,8.40839,0.471615
-9.87193,0.485598,1.23497,1,1,0,9.9742,0.634522
-8.22932,1,1.23497,1,1,0,9.3481,0.488554
-8.28505,0.977096,1.23497,1,1,0,8.52098,0.495859
-7.81599,1,1.23497,1,1,0,8.1371,0.417186
-7.99052,0.979666,1.23497,2,3,0,8.00159,0.22707
-8.34165,0.964281,1.23497,2,3,0,8.39989,0.502959
-8.21628,1,1.23497,1,1,0,8.51467,0.486794
-7.81923,0.447786,1.23497,2,3,0,11.224,0.417965
-7.94285,0.950851,1.23497,1,1,0,8.0048,0.443857
-7.70542,1,1.23497,1,1,0,7.86097,0.384351
-7.65211,0.825612,1.23497,2,3,0,8.23643,0.356302
-7.64592,1,1.23497,1,1,0,7.65207,0.350412
-7.83515,0.42266,1.23497,2,3,0,11.0532,0.252188
-8.07396,0.930817,1.23497,1,1,0,8.1062,0.216327
-7.83054,1,1.23497,2,3,0,8.00516,0.420636
-7.75861,1,1.23497,2,3,0,7.80588,0.269076
-10.045,0.567548,1.23497,1,3,0,10.2036,0.100266
-8.13694,1,1.23497,1,3,0,9.60755,0.209045
-11.2513,0.446343,1.23497,1,3,0,12.102,0.709009
-7.64758,1,1.23497,1,3,0,9.84965,0.352173
-7.64758,0.0995686,1.23497,2,3,0,12.7834,0.352173
-8.44211,0.797077,1.23497,2,3,0,8.78541,0.180377
-7.79885,0.931763,1.23497,2,3,0,9.0693,0.259625
-7.66593,0.949131,1.23497,2,3,0,8.05136,0.301818
-7.63834,1,1.23497,1,3,0,7.65667,0.330851
-7.80686,0.738071,1.23497,2,3,0,8.86044,0.414951
-7.64677,0.914094,1.23497,2,3,0,8.07641,0.315648
-7.70823,0.978597,1.23497,1,1,0,7.70838,0.283827
-7.97742,0.898423,1.23497,2,3,0,8.23962,0.450123
-10.682,0.332585,1.23497,1,1,0,10.7173,0.681246
-8.10748,1,1.23497,1,3,0,10.6153,0.212375
-7.77438,1,1.23497,2,3,0,8.03438,0.406486
-7.63931,0.886941,1.23497,2,3,0,8.11309,0.326846
-7.75125,0.936121,1.23497,2,3,0,7.89943,0.270987
-7.73401,1,1.23497,1,1,0,7.7759,0.275746
-7.63991,0.989391,1.23497,2,3,0,7.76795,0.325328
-8.68175,0.754128,1.23497,1,3,0,8.78633,0.162848
-8.04278,1,1.23497,1,1,0,8.54869,0.220179
-7.64859,0.981286,1.23497,1,3,0,7.96618,0.353165
-7.64557,1,1.23497,2,3,0,7.6499,0.350016
-7.7752,0.800659,1.23497,2,3,0,8.46478,0.406712
-7.7752,0.501106,1.23497,1,1,0,8.77481,0.406712
-7.64613,0.843163,1.23497,2,3,0,8.34132,0.350648
-7.65205,0.999276,1.23497,2,3,0,7.65241,0.310929
